date,year,month,month_name,quarter,season,date_key
2001-06-30,2001,6,June,2,Winter,547
2001-07-01,2001,7,July,3,Winter,548
2001-07-02,2001,7,July,3,Winter,549
2001-07-03,2001,7,July,3,Winter,550
2001-07-04,2001,7,July,3,Winter,551
2001-07-05,2001,7,July,3,Winter,552
2001-07-06,2001,7,July,3,Winter,553
2001-07-07,2001,7,July,3,Winter,554
2001-07-08,2001,7,July,3,Winter,555
2001-07-09,2001,7,July,3,Winter,556
2001-07-10,2001,7,July,3,Winter,557
2001-07-11,2001,7,July,3,Winter,558
2001-07-12,2001,7,July,3,Winter,559
2001-07-13,2001,7,July,3,Winter,560
2001-07-14,2001,7,July,3,Winter,561
2001-07-15,2001,7,July,3,Winter,562
2001-07-16,2001,7,July,3,Winter,563
2001-07-17,2001,7,July,3,Winter,564
2001-07-18,2001,7,July,3,Winter,565
2001-07-19,2001,7,July,3,Winter,566
2001-07-20,2001,7,July,3,Winter,567
2001-07-21,2001,7,July,3,Winter,568
2001-07-22,2001,7,July,3,Winter,569
2001-07-23,2001,7,July,3,Winter,570
2001-07-24,2001,7,July,3,Winter,571
2001-07-25,2001,7,July,3,Winter,572
2001-07-26,2001,7,July,3,Winter,573
2001-07-27,2001,7,July,3,Winter,574
2001-07-28,2001,7,July,3,Winter,575
2001-07-29,2001,7,July,3,Winter,576
2001-07-30,2001,7,July,3,Winter,577
2001-07-31,2001,7,July,3,Winter,578
2001-08-01,2001,8,August,3,Winter,579
2001-08-02,2001,8,August,3,Winter,580
2001-08-03,2001,8,August,3,Winter,581
2001-08-04,2001,8,August,3,Winter,582
2001-08-05,2001,8,August,3,Winter,583
2001-08-06,2001,8,August,3,Winter,584
2001-08-07,2001,8,August,3,Winter,585
2001-08-08,2001,8,August,3,Winter,586
2001-08-09,2001,8,August,3,Winter,587
2001-08-10,2001,8,August,3,Winter,588
2001-08-11,2001,8,August,3,Winter,589
2001-08-12,2001,8,August,3,Winter,590
2001-08-13,2001,8,August,3,Winter,591
2001-08-14,2001,8,August,3,Winter,592
2001-08-15,2001,8,August,3,Winter,593
2001-08-16,2001,8,August,3,Winter,594
2001-08-17,2001,8,August,3,Winter,595
2001-08-18,2001,8,August,3,Winter,596
2001-08-19,2001,8,August,3,Winter,597
2001-08-20,2001,8,August,3,Winter,598
2001-08-21,2001,8,August,3,Winter,599
2001-08-22,2001,8,August,3,Winter,600
2001-08-23,2001,8,August,3,Winter,601
2001-08-24,2001,8,August,3,Winter,602
2001-08-25,2001,8,August,3,Winter,603
2001-08-26,2001,8,August,3,Winter,604
2001-08-27,2001,8,August,3,Winter,605
2001-08-28,2001,8,August,3,Winter,606
